GeoFIPS,GeoName,Description,2022,GDP
" ""00000""",United States,Real GDP (thousands of chained 2017 dollars) ,21822037000,21822037000
" ""01000""",Alabama,Real GDP (thousands of chained 2017 dollars) ,235807320,235807320
" ""01001""","Autauga, AL",Real GDP (thousands of chained 2017 dollars) ,1929264,1929264
" ""01003""","Baldwin, AL",Real GDP (thousands of chained 2017 dollars) ,8924207,8924207
" ""01005""","Barbour, AL",Real GDP (thousands of chained 2017 dollars) ,745349,745349
" ""01007""","Bibb, AL",Real GDP (thousands of chained 2017 dollars) ,448464,448464
" ""01009""","Blount, AL",Real GDP (thousands of chained 2017 dollars) ,1045845,1045845
" ""01011""","Bullock, AL",Real GDP (thousands of chained 2017 dollars) ,247403,247403
" ""01013""","Butler, AL",Real GDP (thousands of chained 2017 dollars) ,652201,652201
" ""01015""","Calhoun, AL",Real GDP (thousands of chained 2017 dollars) ,4608415,4608415
" ""01017""","Chambers, AL",Real GDP (thousands of chained 2017 dollars) ,894548,894548
" ""01019""","Cherokee, AL",Real GDP (thousands of chained 2017 dollars) ,606899,606899
" ""01021""","Chilton, AL",Real GDP (thousands of chained 2017 dollars) ,1077591,1077591
" ""01023""","Choctaw, AL",Real GDP (thousands of chained 2017 dollars) ,611338,611338
" ""01025""","Clarke, AL",Real GDP (thousands of chained 2017 dollars) ,817215,817215
" ""01027""","Clay, AL",Real GDP (thousands of chained 2017 dollars) ,433948,433948
" ""01029""","Cleburne, AL",Real GDP (thousands of chained 2017 dollars) ,332525,332525
" ""01031""","Coffee, AL",Real GDP (thousands of chained 2017 dollars) ,1641541,1641541
" ""01033""","Colbert, AL",Real GDP (thousands of chained 2017 dollars) ,2635868,2635868
" ""01035""","Conecuh, AL",Real GDP (thousands of chained 2017 dollars) ,350708,350708
" ""01037""","Coosa, AL",Real GDP (thousands of chained 2017 dollars) ,197269,197269
" ""01039""","Covington, AL",Real GDP (thousands of chained 2017 dollars) ,1229523,1229523
" ""01041""","Crenshaw, AL",Real GDP (thousands of chained 2017 dollars) ,443859,443859
" ""01043""","Cullman, AL",Real GDP (thousands of chained 2017 dollars) ,3112513,3112513
" ""01045""","Dale, AL",Real GDP (thousands of chained 2017 dollars) ,2884753,2884753
" ""01047""","Dallas, AL",Real GDP (thousands of chained 2017 dollars) ,1196269,1196269
" ""01049""","DeKalb, AL",Real GDP (thousands of chained 2017 dollars) ,2181316,2181316
" ""01051""","Elmore, AL",Real GDP (thousands of chained 2017 dollars) ,2064691,2064691
" ""01053""","Escambia, AL",Real GDP (thousands of chained 2017 dollars) ,1187779,1187779
" ""01055""","Etowah, AL",Real GDP (thousands of chained 2017 dollars) ,2924073,2924073
